"","subject","catalog_number","name_of_class","term","start_date","timestamp","census_date","total_of_enrollments"
"123","MATH","4110","Theory of Numbers","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"124","MATH","4310","Intro to Real Analysis I","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"125","MATH","4320","Intro Real Analysis II","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"126","MATH","4387","Applied Regression Analysis","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"127","MATH","4390","Game Theory","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"128","MATH","4408","Applied Graph Theory","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"129","MATH","4450","Complex Variables","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"130","MATH","4650","Numerical Analysis I","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"131","MATH","4660","Numerical Analysis II","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"132","MATH","4733","Partial Differential Equations","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"133","MATH","4779","Math Clinic","Spring 2019",2019-01-22,2018-11-03,2019-02-11,1
"134","MATH","4810","Probability","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"135","MATH","4830","Applied Statistics","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"136","MATH","5010","History of Mathematics","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"137","MATH","5027","Topics in Applied Mathematics","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"138","MATH","5070","Applied Analysis","Spring 2019",2019-01-22,2018-11-03,2019-02-11,1
"139","MATH","5110","Theory of Numbers","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"140","MATH","5320","Intro Mathematical Statistics","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"141","MATH","5387","Applied Regression Analysis","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"142","MATH","5390","Game Theory","Spring 2019",2019-01-22,2018-11-03,2019-02-11,1
"143","MATH","5490","Network Flows","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"144","MATH","5661","Numerical Analysis II","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"145","MATH","5718","Applied Linear Algebra","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"146","MATH","5733","Partial Differential Equations","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"147","MATH","5779","Math Clinic","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"148","MATH","5830","Applied Statistics","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"149","MATH","6330","Statistical Consulting","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"150","MATH","6595","Comput Meth Non-Linear Prog","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"151","MATH","7132","Functional Analysis","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"152","MATH","7393","Bayesian Statistics","Spring 2019",2019-01-22,2018-11-03,2019-02-11,1
"153","MATH","7405","Advanced Graph Theory","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"154","MATH","7594","Integer Programming","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
